site_id;country;dataset;longitude;latitude;sampling_m;unit;resolution;HYRIV_ID;NEXT_DOWN;MAIN_RIV;LENGTH_KM;DIST_DN_KM;DIST_UP_KM;CATCH_SKM;UPLAND_SKM;ENDORHEIC;DIS_AV_CMS;ORD_STRA;ORD_CLAS;ORD_FLOW;HYBAS_L12
101000001;Estonia;Estonia_1;27.0306;58.9657;Kicknet;Ind/1.25 m^2 (five 0.25 samples);species;20182811;20182812;20172821;16.77;121.4;67.2;54.36;521.6;0;4.934;3;2;6;2120250120
101000003;Estonia;Estonia_1;25.9281;58.704;Kicknet;Ind/1.25 m^2 (five 0.25 samples);species;20185997;20187627;20172821;4.87;267.3;37.1;12.48;248.4;0;2.464;2;3;6;2121065090
101000004;Estonia;Estonia_1;24.6416;58.2711;Kicknet;Ind/1.25 m^2 (five 0.25 samples);species;20193889;20193343;20191511;6.34;20.9;48;25.97;547.4;0;6.491;3;2;6;2120259400
101000005;Estonia;Estonia_1;25.2476;58.6068;Kicknet;Ind/1.25 m^2 (five 0.25 samples);species;20187996;20187995;20191511;12.16;64.3;22.9;21.35;53.5;0;0.629;2;3;7;2121065690
101000006;Estonia;Estonia_1;26.3367;59.5071;Kicknet;Ind/1.25 m^2 (five 0.25 samples);species;20172764;0;20172764;12.82;0;54.4;32.46;499.6;0;4.19;3;1;6;2120027980
101000007;Estonia;Estonia_1;24.5674;58.8093;Kicknet;Ind/1.25 m^2 (five 0.25 samples);species;20184365;20184503;20184653;6.09;58.7;36.7;25.01;243.4;0;2.97;2;2;6;2120251260
101000008;Estonia;Estonia_1;23.8735;59.26;Kicknet;Ind/1.25 m^2 (five 0.25 samples);species;20176904;0;20176904;3.99;0;44.6;10.43;461;0;5.866;3;1;6;2120027730
101000009;Estonia;Estonia_1;27.2177;57.9892;Kicknet;Ind/1.25 m^2 (five 0.25 samples);species;20198646;20197204;20172821;17.98;206.1;99.8;49.72;927.6;0;7.67;3;2;6;2121068680
101000010;Estonia;Estonia_1;25.959;58.0275;Kicknet;Ind/1.25 m^2 (five 0.25 samples);species;20197862;20197202;20172821;5.92;272.5;59.2;14.66;414.1;0;3.922;3;3;6;2121068570
103000516;Spain;Spain_3_1;-2.3513851;43.1323467;Kicknet;Ind/ 5 subsamples;genus;20545849;20543584;20539714;13.68;26.6;25;39.33;75.4;0;2.109;2;1;6;2121201330
103000518;Spain;Spain_3_1;-2.8358021;43.006899;Kicknet;Ind/ 5 subsamples;genus;20548484;20548784;20598415;7.37;684.4;12.8;16.48;37.5;0;0.762;2;2;7;2121203590
103000520;Spain;Spain_3_1;-2.473415;42.6340018;Kicknet;Ind/ 5 subsamples;genus;20556380;20556156;20598415;5.71;586.8;20.2;19.11;91.3;0;1.527;2;2;6;2120591190
103000521;Spain;Spain_3_1;-2.6604225;43.0632717;Kicknet;Ind/ 5 subsamples;genus;20546478;20546477;20598415;5.09;703.2;7.5;15.84;15.8;0;0.355;1;4;7;2120588230
103000527;Spain;Spain_3_1;-2.3915388;43.1015275;Kicknet;Ind/ 5 subsamples;genus;20545022;20544712;20540011;3.41;26.2;7.1;10.5;23.8;0;0.668;2;2;7;2121201300
103000533;Spain;Spain_3_1;-2.2191363;43.0504046;Kicknet;Ind/ 5 subsamples;genus;20546361;20546362;20540131;1.71;49.4;13.5;2.98;57.2;0;1.64;2;3;6;2121202400
103000535;Spain;Spain_3_1;-2.7760385;42.6500325;Kicknet;Ind/ 5 subsamples;genus;20555989;20556264;20598415;14.38;637;27.3;42.95;87;0;1.381;2;2;6;2120592170
103000536;Spain;Spain_3_1;-2.8355404;42.6530692;Kicknet;Ind/ 5 subsamples;genus;20555989;20556264;20598415;14.38;637;27.3;42.95;87;0;1.381;2;2;6;2120592170
103000538;Spain;Spain_3_1;-3.0456832;42.7770403;Kicknet;Ind/ 5 subsamples;genus;20553396;20553831;20598415;3.93;659.1;30.7;12.29;350;0;6.307;3;2;6;2120590110
103000540;Spain;Spain_3_1;-2.3295061;43.0067008;Kicknet;Ind/ 5 subsamples;genus;20547427;20547131;20539714;1.84;46.4;5.2;9.11;9.1;0;0.239;1;1;7;2121201330
103000541;Spain;Spain_3_1;-3.1757827;42.8739924;Kicknet;Ind/ 5 subsamples;genus;20550666;20551120;20598415;3.32;679.1;10.7;8.65;50.3;0;0.93;2;2;7;2120589030
103000544;Spain;Spain_3_1;-2.2648695;42.8695519;Kicknet;Ind/ 5 subsamples;genus;20550673;20550471;20598415;10.34;611.2;17.2;51.76;77.9;0;1.836;2;3;6;2121203520
103000548;Spain;Spain_3_1;-2.6638158;43.3204492;Kicknet;Ind/ 5 subsamples;genus;20539916;20539149;20538603;5.38;5.7;11.5;14.68;34.7;0;0.866;2;2;7;2120020160
103000552;Spain;Spain_3_1;-2.5818415;43.3703701;Kicknet;Ind/ 5 subsamples;genus;20538134;20537753;20537753;2.91;1.3;5.4;12.33;12.3;0;0.324;1;1;7;2120020170
103000555;Spain;Spain_3_1;-2.4539565;43.317911;Kicknet;Ind/ 5 subsamples;genus;20539713;0;20539713;7.4;0;21;17.18;109.6;0;3.049;3;1;6;2120020180
103000561;Spain;Spain_3_1;-2.8089421;43.4016532;Kicknet;Ind/ 5 subsamples;genus;20537238;0;20537238;6.34;0;8.9;23.08;22.8;0;0.548;1;1;7;2120020150
103000562;Spain;Spain_3_1;-2.9930488;43.2797559;Kicknet;Ind/ 5 subsamples;genus;20540590;20539710;20539342;5.71;5.5;11.1;12.03;31.6;0;0.735;2;2;7;2120020120
103000566;Spain;Spain_3_1;-2.3630965;43.2370569;Kicknet;Ind/ 5 subsamples;genus;20541420;20540847;20540011;3.71;6.7;6.4;12.67;12.7;0;0.388;1;2;7;2120020200
103000568;Spain;Spain_3_1;-2.5269534;43.2525204;Kicknet;Ind/ 5 subsamples;genus;20540956;20540386;20539713;3.77;11.5;9.7;9.54;33.6;0;0.88;2;1;7;2120020180
103000571;Spain;Spain_3_1;-2.4448605;42.6959965;Kicknet;Ind/ 5 subsamples;genus;20555324;20555233;20598415;8.69;581.3;16;26.04;57.3;0;1.037;2;4;6;2120591110
103000585;Spain;Spain_3_1;-2.5672215;42.9966532;Kicknet;Ind/ 5 subsamples;genus;20548064;20547517;20540011;2.66;46.3;5.5;10.84;10.8;0;0.245;1;2;7;2120585810
103000588;Spain;Spain_3_1;-3.3720556;43.2467883;Kicknet;Ind/ 5 subsamples;genus;20541191;20541067;20538228;0.57;22.3;12.7;0.47;97.2;0;2.279;3;2;6;2120582280
103000590;Spain;Spain_3_1;-2.4050954;43.3077983;Kicknet;Ind/ 5 subsamples;genus;20539919;0;20539919;4.5;0;6.5;15.78;15.6;0;0.467;1;1;7;2120020190
103000592;Spain;Spain_3_1;-1.8203729;43.2813632;Kicknet;Ind/ 5 subsamples;genus;20540133;20539821;20538911;3.74;8.1;8.4;8.91;24.2;0;0.854;2;1;7;2120020270
103000594;Spain;Spain_3_1;-2.5872138;42.7585288;Kicknet;Ind/ 5 subsamples;genus;20554232;20554810;20598415;7.67;676.1;10.4;19.54;19.5;0;0.361;1;3;7;2121204860
103000595;Spain;Spain_3_1;-3.0250444;43.2208537;Kicknet;Ind/ 5 subsamples;genus;20542336;20541561;20539342;4.24;15.9;55.4;18.46;561.1;0;11.736;3;1;5;2120582150
103000596;Spain;Spain_3_1;-2.2103456;43.2461806;Kicknet;Ind/ 5 subsamples;genus;20542113;20540848;20539714;7.33;8.1;10.7;16.89;26.3;0;0.851;2;2;7;2120020220
103000597;Spain;Spain_3_1;-2.5064511;43.34284;Kicknet;Ind/ 5 subsamples;genus;20539817;20538505;20538505;9.48;2.6;18.5;26.86;62.5;0;1.594;2;1;6;2120020170
103000598;Spain;Spain_3_1;-2.4340008;43.0330286;Kicknet;Ind/ 5 subsamples;genus;20547426;20546359;20540011;5.08;35.6;17.7;11.46;60.8;0;1.513;3;1;6;2120585920
103000600;Spain;Spain_3_1;-3.2586967;43.2827593;Kicknet;Ind/ 5 subsamples;genus;20540382;20538601;20538033;11.44;7;20.8;43.89;89.2;0;2.099;2;1;6;2120020080
103000601;Spain;Spain_3_1;-3.1043976;43.0889148;Kicknet;Ind/ 5 subsamples;genus;20546255;20543991;20539342;13.99;30.2;20.6;50.48;72.3;0;1.503;2;2;6;2121201750
103000603;Spain;Spain_3_1;-3.2299022;42.8482494;Kicknet;Ind/ 5 subsamples;genus;20551237;20552545;20598415;0.51;686.9;4.3;6.3;6.3;0;0.109;1;3;7;2121204460
103000607;Spain;Spain_3_1;-2.5408751;43.3097565;Kicknet;Ind/ 5 subsamples;genus;20539817;20538505;20538505;9.48;2.6;18.5;26.86;62.5;0;1.594;2;1;6;2120020170
103000609;Spain;Spain_3_1;-2.702943;43.3670659;Kicknet;Ind/ 5 subsamples;genus;20538133;0;20538133;2.73;0;6.8;8.27;21.2;0;0.518;2;1;7;2120020150
103000611;Spain;Spain_3_1;-2.9375133;43.2920754;Kicknet;Ind/ 5 subsamples;genus;20539913;20539813;20539342;6.5;8.8;15.7;12.97;55.5;0;1.251;2;2;6;2120020120
103000613;Spain;Spain_3_1;-3.1211689;43.313009;Kicknet;Ind/ 5 subsamples;genus;20540233;20539148;20539148;5.75;3.4;18.4;17.18;96.9;0;2.269;3;1;6;2120020100
103000614;Spain;Spain_3_1;-2.2418122;43.0217141;Kicknet;Ind/ 5 subsamples;genus;20547018;20546921;20540131;1.93;52.3;15.5;3.3;67.2;0;1.77;2;2;6;2121202400
103000619;Spain;Spain_3_1;-2.8979978;43.1705192;Kicknet;Ind/ 5 subsamples;genus;20543883;20543027;20539342;7.86;26.4;12.4;35.39;49;0;1.058;2;3;6;2120583250
103000620;Spain;Spain_3_1;-2.5957968;42.7014825;Kicknet;Ind/ 5 subsamples;genus;20554810;20554969;20598415;3;673.1;13.5;4.57;31.1;0;0.567;2;3;7;2121204860
103000623;Spain;Spain_3_1;-2.2413836;43.1550378;Kicknet;Ind/ 5 subsamples;genus;20543997;20543477;20539714;2.54;21.2;11;5.33;39.8;0;1.209;2;2;6;2121201330
103000627;Spain;Spain_3_1;-2.1577687;43.0485376;Kicknet;Ind/ 5 subsamples;genus;20546581;20545937;20540131;3.33;44.4;12.1;9.41;38.3;0;1.087;2;2;6;2121202310
103000628;Spain;Spain_3_1;-2.8548711;43.2818792;Kicknet;Ind/ 5 subsamples;genus;20540128;20539913;20539342;4.89;15.2;9.3;22.19;37.5;0;0.867;2;2;7;2120020120
103000635;Spain;Spain_3_1;-2.4425529;43.0646151;Kicknet;Ind/ 5 subsamples;genus;20546359;20545848;20540011;2.76;33;20.3;9.25;109.1;0;2.785;3;1;6;2120585920
103000712;Spain;Spain_4;-4.911432;43.146195;Surber;Ind/ 6 subsamples; each with 30x30cm frame;4;20543983;20543685;20537931;2.06;56.1;7.4;3.92;29.1;0;0.755;2;3;7
103000714;Spain;Spain_4;-4.715204;43.160911;Surber;Ind/ 6 subsamples; each with 30x30cm frame;4;20543786;20543787;20537931;2.92;46.4;5.9;16.28;16.3;0;0.432;1;2;7
103000716;Spain;Spain_4;-4.79869;43.261337;Surber;Ind/ 6 subsamples; each with 30x30cm frame;4;20540831;20540700;20537931;6.58;39.2;19.9;17.04;71.5;0;2.036;2;3;6
103000718;Spain;Spain_4;-4.91475;43.305926;Surber;Ind/ 6 subsamples; each with 30x30cm frame;4;20540699;20539330;20537931;11.54;40.2;16.1;45.32;45.3;0;1.316;1;3;6
103000719;Spain;Spain_4;-4.809778;43.146027;Surber;Ind/ 6 subsamples; each with 30x30cm frame;4;20544209;20544322;20537931;4.54;58.7;7.4;16.91;16.9;0;0.451;1;1;7
103000720;Spain;Spain_4;-4.807315;43.125416;Surber;Ind/ 6 subsamples; each with 30x30cm frame;4;20544532;20544322;20537931;1.84;58.7;5.1;10.34;10.3;0;0.259;1;3;7
104000001;Sweden;Sweden_1;18.92669326;66.60226437;Kicknet; 0.5mm mesh;Ind/ m^2;10;4;20043545;20043366;20057332;3.43;220.4;21;3.5;66.9;0;0.91;2;4
104000002;Sweden;Sweden_1;11.34617928;58.64190274;Kicknet; 0.5mm mesh;Ind/ m^2;12;4;20186861;20187379;20187379;1.97;5.8;22.1;2.23;134.4;0;2.101;3;1
